"","id","gender","age_4","education","work_experience_4","ethnicity","VR_total","LN_total","MX_total","R3D_total","g_total","H_self","E_self","X_self","A_self","C_self","O_self","H_observer","E_observer","X_observer","A_observer","C_observer","O_observer","g_H_observer","g_E_observer","g_X_observer","g_A_observer","g_C_observer","g_O_observer","p_H_observer","p_E_observer","p_X_observer","p_A_observer","p_C_observer","p_O_observer"
"1","5484821efdf99b07b28f2300",2,38,4,19.4,1,12,4,0,2,18,3.125,4.1875,3.0625,2.875,3.5,4.125,3.4125,3.365625,3.178125,3.69375,3.371875,3.01875,3.475,3.275,3.0125,3.70625,3.3125,3.025,3.6375,3.35625,3.28125,3.8125,3.3125,2.95625
"2","549b8ef4fdf99b4ffa5fa0c9",2,47,3,30.4,1,8,2,1,1,12,4.3125,2.5625,2.9375,3.6875,4.0625,4.5625,3.184375,3.19375,3.334375,2.86875,2.928125,3.521875,3.49375,3.1375,3.26875,2.9375,3.1125,3.43125,2.8875,3.26875,3.15,2.35625,2.775,3.2875
"3","5513256cfdf99b1607b1f47b",1,31.8,5,12.3,1,11,3,2,0,16,3.25,2.9375,3.625,3.5625,3.8125,4.4375,2.91458333333333,2.66666666666667,3.27916666666667,3.16145833333333,3.49791666666667,3.18854166666667,3.05,2.93333333333333,3.23333333333333,3.06666666666667,3.46666666666667,3.08333333333333,2.8875,2.0625,3.09375,3.90625,3.575,3.19375
"4","5563b68afdf99b672cca50d3",1,44,3,12,6,12,4,1,1,18,4.6875,2,3.875,4.5625,4.375,4.4375,2.965625,2.81875,3.0375,2.884375,3.296875,3.0125,3.05,3.0625,2.79375,3,3.43125,3.0125,2.925,2.3,3.2375,2.4875,2.975,3.025
"5","558a327cfdf99b2d75651681",1,56,5,34,1,15,4,4,3,26,4.75,3.625,3.9375,4.0625,4.3125,4.5,3.178125,2.65625,3.48125,3.125,3.85,3.2875,3.325,2.85625,3.825,3.24375,4.20625,3.21875,3.81875,2.2,3.1875,3.425,3.85625,3.13125
"6","55a44167fdf99b12b371c88c",1,26,3,5,2,13,2,3,2,20,4.1875,2.625,2.25,3.25,3.375,2.875,3.675,2.99375,2.359375,3.59375,3.359375,3.15,3.7125,2.98125,2.35,3.4625,3.21875,3.13125,3.98125,2.99375,2,3.96875,2.99375,3.25
"7","55b1add5fdf99b6731f04c5a",2,43,4,23,2,12,3,2,0,17,3,3.5625,2.5625,1.5625,4.125,3.0625,3.04375,3.059375,2.546875,3.134375,2.84375,2.821875,3.0875,2.8375,2.575,3.05625,2.8625,2.975,2.75,3.525,2.61875,3.10625,2.2875,2.29375
"8","55b2d3f2fdf99b525bc839aa",1,35,4,11.4,6,8,3,0,0,11,3.6875,2.875,3.5625,3.8125,3.5,3.5625,2.925,2.790625,2.540625,3.0125,3.196875,2.86875,3.0125,3.01875,2.83125,3.1625,3.1,3.05,2.39375,2.1625,1.96875,2.56875,2.81875,2.3
"9","55b3120cfdf99b6ef6263a71",2,54,4,39.1,1,13,2,3,0,18,4.375,3.3125,4.625,3.75,3.9375,4.375,3.365625,3.225,3.265625,2.625,3.3375,3.175,3.6875,3.44375,3.41875,3.125,3.63125,3.20625,3.2875,3.09375,3.05,2.3125,3.0375,3.3375
"10","55b74f71fdf99b6e0c49975b",1,45,4,25.1,1,7,2,1,0,10,3,3.375,2.9375,3.1875,3.75,3.875,3.090625,2.85,3.24375,3.35,3.4375,3.284375,3.48125,2.96875,3.56875,3.45,3.7625,3.34375,3.01875,2.29375,2.98125,3.5625,3.01875,3.3875
