filename,text
5484821efdf99b07b28f2300_q1_c1_1672163137_2a0afdae-1661-45af-95fb-4f59e6a92a57,"Generally, I consider some of my greatest strengths to be my concern for others. I like to see people be successful in their jobs and what they're doing. And so I'm very willing to help them achieve and do what it takes to be successful as far as weaknesses. I would say that I'm not much of a conflict. Foreign Tatian person. If there's a problem with the project or something, I tend to probably not be as direct as I should be like. Beating around the bush too much or when I should be saying, hey, this is a problem in. Here's what we need to do, I don't like to tell people what to do and wanting them to come to the conclusion of what they should do on their own. Is he is does not always work as a solution. So I have a problem with being direct with people, that's my weakness."
5484821efdf99b07b28f2300_q2_c1_1672163203_2a0afdae-1661-45af-95fb-4f59e6a92a57,"My best friend would describe me as someone who is very soft-hearted, very forgiving and always goes out of my way to help people or to do something nice for them and I volunteer a lot. and that kind of attitude is reflected in my work and They would also say I'm very hardworking and smart and I always try to do a good job, no matter what I'm doing or working on. I think I think that's bad friendly. I think they would say I'm friendly person and I always get along with everyone."
5484821efdf99b07b28f2300_q3_c1_1672163288_2a0afdae-1661-45af-95fb-4f59e6a92a57,"There have definitely been times where I made professional decisions that affected how much money I make us. Some of those decisions were a negative amount of money. For example, one time I left a job. I didn't like to take a lower paying job because I felt that the opportunity in that job was worth the lower amount of money. And it did work out eventually I did Increase my pay even higher than before but it did take about three years. So overall I think it was a good decision and I did make some really good professional contacts from that. So I do take risks like that. Where it could end up as a negative overall, but but this one lucky for me was the positive."
5484821efdf99b07b28f2300_q4_c1_1672163381_2a0afdae-1661-45af-95fb-4f59e6a92a57,"I did recently join a new team about a year and four months ago and it was very difficult because we were working remotely. The team had worked in person together prior to covid, so they had seen each other every day. They had built these relationships and then I came in and I didn't know anybody, there was hardly any opportunities to interact in person. And so, when I came in, I was just kind of, like, greasing everybody up. Like, hey, I know, you're so busy, but can you help me with something or can you look at this, like just just acknowledging that they were busy and that they would be doing me a great favor by helping me with learning new things, or Or. And occasionally, I try to make it personal and talk to them about their kids or their white fur, whatever their interests are. Just so we could kind of form that interpersonal relationship."
5484821efdf99b07b28f2300_q5_c1_1672163466_2a0afdae-1661-45af-95fb-4f59e6a92a57,"There have definitely been times where someone has annoyed me. Normally it's a situation where I asked someone to do something or take care of something and they don't do it or I remind them and they still don't do it. Which is so irritating to me because I feel like I'm a person who if you ask me to do something. I'm going to do it and I'll take care of it and you don't have to ask me twice. So for me to have to ask someone multiple times to do their job is super stressful for me but I try to keep it positive like hey as soon as you do this I can stop bugging you about this and we can in my head I'm thinking we can all move on with our lives and hopefully I don't have to talk to you about the situation again, but of course always just try to keep it positive like hey if You do this for me, we can close this project and we can be done and try to spin it in a way that shows the benefit to them."
5484821efdf99b07b28f2300_q6_c1_1672163551_2a0afdae-1661-45af-95fb-4f59e6a92a57,"Occasionally, my workspace does get disorganized. I think that the greatest reason that that occurs is because when I get unhappy especially in a work situation. If I'm bored, I some super unorganized just because I don't see a benefit and being organized if I'm bored. I'm like this won't gain me anything. Thing. But if I'm super busy then I'm like, I got to have everything exactly where I need it and I know where it is so I can access it easily and So yeah, it would say that's the primary reason that I become disorganized as boredom being busy, really, keeps me on my toes and requires a lot of organization when I'm just overloaded with things to do."
549b8ef4fdf99b4ffa5fa0c9_q1_c1_1672109173_47a49a62-5383-4def-aa39-12fb172e35a2,"I consider my greatest strengths and weaknesses as an employee, but honesty. And my Integrity. I am generally very truthful and have a lot of integrity and tries to be authentic while keeping in line with typical normal same values. I also think my humor is among my greatest drink. Some of my weaknesses would be, I can at times be a bit too kind and forgiving causing others to try to take advantage of me, which then leads to my next weakness, which is my strange way of expressing myself, when I'm frustrated, which usually is a little bit. Well, it's also honest and authentic. So, whatever. I'm feeling at the time, I may say it and that could be a strength and a weakness. So, yeah, it's just it's hard for me to deal with people sometimes when like customers I could deal with angry customers, but sometimes when you see somebody every single day and they are Not nice to you. And it's what do they call it? Like systematically every day. They have something to say or something. That they're trying to cause problems about is, that's, that's the hardest part for me. Is dealing with people like that so, you know, working on it. But that, that would be about all Thank you."
549b8ef4fdf99b4ffa5fa0c9_q2_c1_1672109453_47a49a62-5383-4def-aa39-12fb172e35a2,"My best friend would describe me as being funny. Also, sometimes a little strange not necessarily in a bad way but I'm creative type. So sometimes my thoughts and feelings come out in the things that I do and make and say, writing photography, things like that, I tend to be a little bit out there compared to most people, so I would say they would describe me as a little eccentric but funny with a good heart. Hopefully loud sometimes and sometimes very quiet, but usually kind of louder and some hyper. Lots of people would say high energy, I'm a high-energy type of person. I like to drink coffee that fuels the fire of my creative brain so I can come up with a lot of ideas in a short time if needed. And sometimes those ideas involve road trips, And shopping but I'm you know just really an average kind of person. So nothing really crazy other than my own little adventures that I get into that usually don't actually involve road trips but they do involve shopping and so yeah, I like to enjoy life. I like my, that's how I believe my best friend would describe me. Is someone who likes to enjoy life? Have fun live the best life that I can be kind to others. Try to stay out of trouble so I'm not a troublemaker. My Doom of us to see how the trouble and someone who maybe struggles to fit in sometimes. But but once I find a place I fit in, then I stay I don't like to keep looking and searching for places. Thanks."
549b8ef4fdf99b4ffa5fa0c9_q3_c1_1672109715_47a49a62-5383-4def-aa39-12fb172e35a2,"Well situations, where I'm a professional decisions and can affect my status or how much money you can make. I could make well, that happens a lot. I mean, not the money so much, but the status I have to make a lot of decisions that affect my status and especially, because I'm are an honest person. People don't always want to hear the truth. So usually it doesn't affect my much money, I make, but it does affect my so-called status because I don't really have super high status as it is. So I don't really have that much to fall there. So you know, it's like one little thing and you are on another lower level, you know, or you could go up a level or down two levels are up to but not usually more than that. So, a situation. Really, it's just like basic. The need to tell somebody like, you're not doing things right. And you tell them that and they get mad and upset and so they, you know, because it could be because I'm around a lot of people that maybe don't have the level of emotional maturity that they should have in the place that they're in. So that's part of it. Yeah. So it's like basically situation. We are trying to tell someone, look, this isn't right what you're doing and you have to stop. I've been told by multiple people. You have to stop and you tell them in the nicest way possible and they shoot the messenger and to say there, you get back at you, which could affect status and money sometimes. So, it could be like a landmine out there, and I haven't had a ton of experience in That area, as far as how, you know, because I am not a manager like, you know, so it's like how do you tell people these things? Because if I wear manager, they probably would respond very differently. Even though I said it the exact same way, but because they view themselves in their own head as being high status, And I'm from this low status, then they say, you know, don't like it anyways and they let everyone know."
549b8ef4fdf99b4ffa5fa0c9_q4_c1_1672109993_47a49a62-5383-4def-aa39-12fb172e35a2,"Work situations, where I joined the new team people. I went I got a space like a place where I put my art and I put my like retail product type things, sort of a side job. And so there's a new seating people. So, how do I usually behave when I enter a new team? Well, usually, I'm polite. I do try to be polite whether they're new or not new. So, but, of course, it's a new situation. So I typically try to be really polite and understand where they're coming from, and how they are. Because, so many people can behave in. So So many different ways, where one thing you say, could be taken as funny or nice, one place, and then it can be taken as mean and offensive somewhere else. So I try to be aware of that. And do of us again about just being polite and nice but real not fake. I don't try to put on some kind of a show but I do try to be my best of hit that way. Try to be my best self but put a good foot forward there so they don't think I'm just a horrible person and why do I think that is a little because I like Like to make other people feel accepted and cared for whether I just met them, are no known for the most of my life. I like people to feel comfortable and happy to be around me, not scared, or worried that I'm going to, you know, be mean, or hateful to them, or judge them where I come from. It's called Roll out of his cultural people. Here are very different in personality and there's a lot of people that are very rough and dangerous so they're kind of always little bit shell-shocked. Even if you're walking into a board room meeting they're going to be sort of shell-shocked and it may behave see you know depending on where you're at or what's going on they could be overly aggressive. Overly aggressive or under aggressive. It's just all kinds of things."
